IDLOG,IDTRACKER,IDSTATUS,APLC_SEQ_NO,PROC_PGRS_SEQ_NO,APLC_STATUS,APLC_AUTH,DATA_CHNG_DTTM
317,6119,40,12003063837,1,Application Check,Approved,01/18/2023 15:57
318,6119,61,12003063837,1,Member Bank Apprval 1,Approved,01/19/2023 14:09
319,6119,70,12003063837,1,Approval Completed,Approved,01/23/2023 20:18
320,6119,70,12003063837,2,Approval Completed,,01/23/2023 20:18
321,6123,10,12003081682,1,DOC Registration,Approved,01/18/2023 8:13
322,6123,15,12003081682,1,Quality Assurance (QAM),Approved,01/18/2023 8:13
323,6123,20,12003081682,1,Data Entry,Approved,01/18/2023 13:33
324,6123,30,12003081682,1,B/L Check,Approved,01/18/2023 13:33
325,6123,40,12003081682,1,Application Check,Approved,01/18/2023 13:44
326,6123,61,12003081682,1,Member Bank Apprval 1,Approved,01/18/2023 14:39
327,6123,70,12003081682,1,Approval Completed,Approved,01/21/2023 16:59
328,6123,70,12003081682,2,Approval Completed,,01/21/2023 16:59
329,6120,10,12003081676,1,DOC Registration,Approved,01/18/2023 8:05
330,6120,15,12003081676,1,Quality Assurance (QAM),Approved,01/18/2023 8:05
331,6120,20,12003081676,1,Data Entry,Approved,01/18/2023 15:14
332,6120,30,12003081676,1,B/L Check,Approved,01/18/2023 15:14
333,6120,40,12003081676,1,Application Check,Approved,01/18/2023 15:50
334,6120,61,12003081676,1,Member Bank Apprval 1,Approved,01/19/2023 14:12
335,6120,70,12003081676,1,Approval Completed,Approved,01/20/2023 16:44
336,6120,70,12003081676,2,Approval Completed,,01/20/2023 16:44
337,6121,10,12003081678,1,DOC Registration,Approved,01/18/2023 8:07
338,6121,15,12003081678,1,Quality Assurance (QAM),Approved,01/18/2023 8:08
339,6121,20,12003081678,1,Data Entry,Approved,01/18/2023 14:59
340,6121,30,12003081678,1,B/L Check,Approved,01/18/2023 14:59
341,6121,40,12003081678,1,Application Check,Approved,01/18/2023 20:29
342,6121,61,12003081678,1,Member Bank Apprval 1,Approved,01/19/2023 14:12
343,6121,70,12003081678,1,Approval Completed,Approved,01/20/2023 14:43
344,6121,70,12003081678,2,Approval Completed,,01/20/2023 14:43
345,6122,10,12003081680,1,DOC Registration,Approved,01/18/2023 8:10
346,6122,15,12003081680,1,Quality Assurance (QAM),Approved,01/18/2023 8:11
347,6122,20,12003081680,1,Data Entry,Approved,01/18/2023 12:47
348,6122,30,12003081680,1,B/L Check,Approved,01/18/2023 12:47
349,6122,40,12003081680,1,Application Check,Approved,01/18/2023 13:49
350,6122,61,12003081680,1,Member Bank Apprval 1,Approved,01/19/2023 14:12
351,6122,70,12003081680,1,Approval Completed,Approved,01/19/2023 14:12
352,6124,10,12003081684,1,DOC Registration,Approved,01/18/2023 8:15
353,6124,15,12003081684,1,Quality Assurance (QAM),Approved,01/18/2023 8:15
354,6124,20,12003081684,1,Data Entry,Approved,01/18/2023 14:41
355,6124,30,12003081684,1,B/L Check,Approved,01/18/2023 14:41
356,6124,40,12003081684,1,Application Check,Approved,01/18/2023 20:29
357,6124,61,12003081684,1,Member Bank Apprval 1,Approved,01/19/2023 14:09
358,6124,70,12003081684,1,Approval Completed,Approved,01/22/2023 20:33
359,6124,70,12003081684,2,Approval Completed,,01/22/2023 20:33
360,6128,10,12003081698,1,DOC Registration,Approved,01/18/2023 8:34
361,6128,15,12003081698,1,Quality Assurance (QAM),Approved,01/18/2023 8:34
362,6128,20,12003081698,1,Data Entry,Approved,01/18/2023 14:48
363,6128,30,12003081698,1,B/L Check,Approved,01/18/2023 14:48
364,6128,40,12003081698,1,Application Check,Approved,01/18/2023 14:58
365,6128,61,12003081698,1,Member Bank Apprval 1,Approved,01/19/2023 14:09
366,6128,70,12003081698,1,Approval Completed,Approved,01/23/2023 20:18
367,6128,70,12003081698,2,Approval Completed,,01/23/2023 20:18
368,6125,10,12003081690,1,DOC Registration,Approved,01/18/2023 8:27
369,6125,15,12003081690,1,Quality Assurance (QAM),Approved,01/18/2023 8:27
370,6125,20,12003081690,1,Data Entry,Approved,01/18/2023 14:01
371,6125,30,12003081690,1,B/L Check,Approved,01/18/2023 14:01
372,6125,40,12003081690,1,Application Check,Approved,01/18/2023 14:10
373,6125,61,12003081690,1,Member Bank Apprval 1,Approved,01/19/2023 14:12
374,6125,70,12003081690,1,Approval Completed,Approved,01/23/2023 20:19
375,6125,70,12003081690,2,Approval Completed,,01/23/2023 20:19
376,6126,10,12003081692,1,DOC Registration,Approved,01/18/2023 8:29
377,6126,15,12003081692,1,Quality Assurance (QAM),Approved,01/18/2023 8:30
378,6126,20,12003081692,1,Data Entry,Approved,01/18/2023 15:20
379,6126,30,12003081692,1,B/L Check,Approved,01/18/2023 15:20
380,6126,40,12003081692,1,Application Check,Approved,01/18/2023 16:14
381,6126,61,12003081692,1,Member Bank Apprval 1,Approved,01/19/2023 14:12
382,6126,70,12003081692,1,Approval Completed,Approved,01/19/2023 14:12
383,6127,10,12003081695,1,DOC Registration,Approved,01/18/2023 8:32
384,6127,15,12003081695,1,Quality Assurance (QAM),Approved,01/18/2023 8:32
385,6127,20,12003081695,1,Data Entry,Approved,01/18/2023 14:01
386,6127,30,12003081695,1,B/L Check,Approved,01/18/2023 14:01
387,6127,40,12003081695,1,Application Check,Approved,01/18/2023 14:12
388,6127,61,12003081695,1,Member Bank Apprval 1,Approved,01/18/2023 14:39
389,6127,70,12003081695,1,Approval Completed,Approved,01/19/2023 22:12
390,6127,70,12003081695,2,Approval Completed,,01/19/2023 22:12
391,6129,10,12003081700,1,DOC Registration,Approved,01/18/2023 8:36
392,6129,15,12003081700,1,Quality Assurance (QAM),Approved,01/18/2023 8:36
393,6129,20,12003081700,1,Data Entry,Approved,01/18/2023 14:08
394,6129,30,12003081700,1,B/L Check,Approved,01/18/2023 14:08
395,6129,40,12003081700,1,Application Check,Approved,01/18/2023 20:29
396,6129,61,12003081700,1,Member Bank Apprval 1,Approved,01/19/2023 14:12
397,6129,70,12003081700,1,Approval Completed,Approved,01/23/2023 20:20
398,6129,70,12003081700,2,Approval Completed,,01/23/2023 20:20
399,6130,10,12003081702,1,DOC Registration,Approved,01/18/2023 8:39
400,6130,15,12003081702,1,Quality Assurance (QAM),Approved,01/18/2023 8:40
401,6130,20,12003081702,1,Data Entry,Approved,01/18/2023 13:49
402,6130,30,12003081702,1,B/L Check,Approved,01/18/2023 13:49
403,6130,40,12003081702,1,Application Check,Approved,01/18/2023 14:14
404,6130,61,12003081702,1,Member Bank Apprval 1,Approved,01/19/2023 14:12
405,6130,70,12003081702,1,Approval Completed,Approved,01/23/2023 15:55
406,6130,70,12003081702,2,Approval Completed,,01/23/2023 15:55
407,6131,10,12003082625,1,DOC Registration,Approved,01/18/2023 8:54
408,6131,15,12003082625,1,Quality Assurance (QAM),Approved,01/18/2023 8:54
409,6131,20,12003082625,1,Data Entry,Approved,01/18/2023 15:06
410,6131,30,12003082625,1,B/L Check,Approved,01/18/2023 15:06
411,6131,40,12003082625,1,Application Check,Approved,01/18/2023 16:16
412,6131,61,12003082625,1,Member Bank Apprval 1,Approved,01/19/2023 14:09
413,6131,70,12003082625,1,Approval Completed,Approved,01/23/2023 15:43
414,6131,70,12003082625,2,Approval Completed,,01/23/2023 15:43
415,6135,10,12003082716,1,DOC Registration,Approved,01/18/2023 9:03
416,6135,15,12003082716,1,Quality Assurance (QAM),Approved,01/18/2023 9:03
417,6135,20,12003082716,1,Data Entry,Approved,01/18/2023 14:12
418,6135,30,12003082716,1,B/L Check,Approved,01/18/2023 14:12
419,6135,40,12003082716,1,Application Check,Approved,01/18/2023 15:00
420,6135,61,12003082716,1,Member Bank Apprval 1,Approved,01/19/2023 14:12
421,6135,70,12003082716,1,Approval Completed,Approved,01/22/2023 20:35
422,6135,70,12003082716,2,Approval Completed,,01/22/2023 20:35
423,6132,10,12003082661,1,DOC Registration,Approved,01/18/2023 8:56
424,6132,15,12003082661,1,Quality Assurance (QAM),Approved,01/18/2023 8:56
425,6132,20,12003082661,1,Data Entry,Approved,01/18/2023 12:52
426,6132,30,12003082661,1,B/L Check,Approved,01/18/2023 12:52
427,6132,40,12003082661,1,Application Check,Approved,01/18/2023 13:46
428,6132,61,12003082661,1,Member Bank Apprval 1,Approved,01/18/2023 14:39
429,6132,70,12003082661,1,Approval Completed,Approved,01/21/2023 17:06
430,6132,70,12003082661,2,Approval Completed,,01/21/2023 17:06
431,6133,10,12003082671,1,DOC Registration,Approved,01/18/2023 8:58
432,6133,15,12003082671,1,Quality Assurance (QAM),Approved,01/18/2023 8:59
433,6133,20,12003082671,1,Data Entry,Approved,01/18/2023 14:13
434,6133,30,12003082671,1,B/L Check,Approved,01/18/2023 14:13
435,6133,40,12003082671,1,Application Check,Approved,01/18/2023 20:29
436,6133,61,12003082671,1,Member Bank Apprval 1,Approved,01/19/2023 14:09
437,6133,70,12003082671,1,Approval Completed,Approved,01/24/2023 21:43
438,6133,70,12003082671,2,Approval Completed,,01/24/2023 21:43
439,6134,10,12003082678,1,DOC Registration,Approved,01/18/2023 9:01
440,6134,15,12003082678,1,Quality Assurance (QAM),Approved,01/18/2023 9:01
441,6134,20,12003082678,1,Data Entry,Approved,01/18/2023 14:54
442,6134,30,12003082678,1,B/L Check,Approved,01/18/2023 14:54
443,6134,40,12003082678,1,Application Check,Approved,01/18/2023 15:58
444,6134,61,12003082678,1,Member Bank Apprval 1,Approved,01/19/2023 14:12
445,6134,70,12003082678,1,Approval Completed,Approved,01/23/2023 20:12
446,6134,70,12003082678,2,Approval Completed,,01/23/2023 20:12
447,6143,10,12003083107,1,DOC Registration,Approved,01/18/2023 10:17
448,6143,15,12003083107,1,Quality Assurance (QAM),Approved,01/18/2023 10:47
449,6143,20,12003083107,1,Data Entry,Approved,01/18/2023 14:01
450,6143,30,12003083107,1,B/L Check,Approved,01/18/2023 14:01
451,6143,40,12003083107,1,Application Check,Approved,01/18/2023 14:23
452,6143,50,12003083107,1,Merchant Analyst,Approved,01/20/2023 14:20
453,6143,61,12003083107,1,Member Bank Apprval 1,Approved,01/31/2023 17:01
454,6143,70,12003083107,1,Approval Completed,Approved,02/20/2023 21:13
455,6143,61,12003083107,2,Member Bank Apprval 1,Approved,01/31/2023 15:51
456,6143,70,12003083107,2,Approval Completed,Approved,02/20/2023 21:13
457,6143,61,12003083107,3,Member Bank Apprval 1,Approved,01/26/2023 17:16
458,6143,70,12003083107,3,Approval Completed,Approved,02/20/2023 21:13
459,6143,70,12003083107,4,Approval Completed,Approved,02/20/2023 21:13
460,6143,70,12003083107,5,Approval Completed,,02/20/2023 21:13
461,6136,10,12003082832,1,DOC Registration,Approved,01/18/2023 9:07
462,6136,15,12003082832,1,Quality Assurance (QAM),Approved,01/18/2023 9:07
463,6136,20,12003082832,1,Data Entry,Approved,01/18/2023 13:55
464,6136,30,12003082832,1,B/L Check,Approved,01/18/2023 13:55
465,6136,40,12003082832,1,Application Check,Approved,01/18/2023 20:29
466,6136,61,12003082832,1,Member Bank Apprval 1,Approved,01/19/2023 14:12
467,6136,70,12003082832,1,Approval Completed,Approved,01/22/2023 20:35
468,6136,70,12003082832,2,Approval Completed,,01/22/2023 20:35
469,6137,10,12003082835,1,DOC Registration,Approved,01/18/2023 9:09
470,6137,15,12003082835,1,Quality Assurance (QAM),Approved,01/18/2023 9:09
471,6137,20,12003082835,1,Data Entry,Approved,01/18/2023 15:14
472,6137,30,12003082835,1,B/L Check,Approved,01/18/2023 15:14
473,6137,40,12003082835,1,Application Check,Approved,01/18/2023 16:31
474,6137,61,12003082835,1,Member Bank Apprval 1,Approved,01/19/2023 14:12
475,6137,70,12003082835,1,Approval Completed,Approved,01/23/2023 20:20
476,6137,70,12003082835,2,Approval Completed,,01/23/2023 20:20
477,6138,10,12003083019,1,DOC Registration,Approved,01/18/2023 9:35
478,6138,15,12003083019,1,Quality Assurance (QAM),Approved,01/18/2023 10:49
479,6138,20,12003083019,1,Data Entry,Approved,01/18/2023 14:32
480,6138,30,12003083019,1,B/L Check,Approved,01/18/2023 14:32
481,6138,40,12003083019,1,Application Check,Returned,01/18/2023 16:07
482,6138,50,12003083019,1,Merchant Analyst,Approved,01/20/2023 16:20
483,6138,61,12003083019,1,Member Bank Apprval 1,Approved,02/15/2023 13:09
484,6138,70,12003083019,1,Approval Completed,Approved,03/10/2023 22:29
485,6138,20,12003083019,2,Data Entry,Approved,01/18/2023 16:19
486,6138,30,12003083019,2,B/L Check,Approved,01/18/2023 16:19
487,6138,40,12003083019,2,Application Check,Returned,01/18/2023 19:12
488,6138,61,12003083019,2,Member Bank Apprval 1,Approved,02/15/2023 13:02
489,6138,70,12003083019,2,Approval Completed,Approved,03/10/2023 22:29
490,6138,20,12003083019,3,Data Entry,Approved,01/19/2023 7:53
491,6138,30,12003083019,3,B/L Check,Approved,01/19/2023 7:53
492,6138,40,12003083019,3,Application Check,Approved,01/19/2023 9:20
493,6138,61,12003083019,3,Member Bank Apprval 1,Approved,02/01/2023 11:34
494,6138,70,12003083019,3,Approval Completed,Approved,03/10/2023 22:29
495,6138,70,12003083019,4,Approval Completed,Approved,03/10/2023 22:29
496,6138,70,12003083019,5,Approval Completed,,03/10/2023 22:29
497,6139,10,12003083097,1,DOC Registration,Approved,01/18/2023 10:06
498,6139,15,12003083097,1,Quality Assurance (QAM),Approved,01/18/2023 10:48
499,6139,20,12003083097,1,Data Entry,Approved,01/18/2023 15:38
500,6139,30,12003083097,1,B/L Check,Approved,01/18/2023 15:38
501,6139,40,12003083097,1,Application Check,Approved,01/18/2023 20:23
502,6139,50,12003083097,1,Merchant Analyst,Approved,01/20/2023 15:38
503,6139,61,12003083097,1,Member Bank Apprval 1,Approved,01/31/2023 17:09
504,6139,70,12003083097,1,Approval Completed,Approved,02/28/2023 16:06
505,6139,61,12003083097,2,Member Bank Apprval 1,Approved,01/31/2023 16:02
506,6139,70,12003083097,2,Approval Completed,Approved,02/28/2023 16:06
507,6139,61,12003083097,3,Member Bank Apprval 1,Approved,01/26/2023 17:16
508,6139,70,12003083097,3,Approval Completed,Approved,02/28/2023 16:06
509,6139,70,12003083097,4,Approval Completed,Approved,02/28/2023 16:06
510,6139,70,12003083097,5,Approval Completed,,02/28/2023 16:06
511,6140,10,12003083100,1,DOC Registration,Approved,01/18/2023 10:13
512,6140,15,12003083100,1,Quality Assurance (QAM),Approved,01/18/2023 10:48
513,6140,20,12003083100,1,Data Entry,Approved,01/18/2023 15:01
514,6140,30,12003083100,1,B/L Check,Approved,01/18/2023 15:01
515,6140,40,12003083100,1,Application Check,Returned,01/18/2023 16:03
516,6140,50,12003083100,1,Merchant Analyst,Approved,01/20/2023 5:41
517,6140,61,12003083100,1,Member Bank Apprval 1,Approved,01/26/2023 17:49
518,6140,70,12003083100,1,Approval Completed,Approved,02/04/2023 19:33
519,6140,20,12003083100,2,Data Entry,Approved,01/18/2023 16:30
520,6140,30,12003083100,2,B/L Check,Approved,01/18/2023 16:30
521,6140,40,12003083100,2,Application Check,Approved,01/18/2023 16:52
522,6140,61,12003083100,2,Member Bank Apprval 1,Approved,01/26/2023 17:54
523,6140,70,12003083100,2,Approval Completed,Approved,02/04/2023 19:33
524,6140,61,12003083100,3,Member Bank Apprval 1,Approved,01/20/2023 8:34
525,6140,70,12003083100,3,Approval Completed,Approved,02/04/2023 19:33
526,6140,70,12003083100,4,Approval Completed,Approved,02/04/2023 19:33
527,6140,70,12003083100,5,Approval Completed,,02/04/2023 19:33
528,6141,10,12003083102,1,DOC Registration,Approved,01/18/2023 10:15
529,6141,15,12003083102,1,Quality Assurance (QAM),Approved,01/18/2023 10:47
530,6141,20,12003083102,1,Data Entry,Approved,01/18/2023 14:42
531,6141,30,12003083102,1,B/L Check,Approved,01/18/2023 14:42
532,6141,40,12003083102,1,Application Check,Returned,01/18/2023 15:54
533,6141,50,12003083102,1,Merchant Analyst,Approved,01/24/2023 8:48
534,6141,61,12003083102,1,Member Bank Apprval 1,Approved,01/31/2023 16:51
535,6141,70,12003083102,1,Approval Completed,Approved,02/22/2023 16:19
536,6141,10,12003083102,2,DOC Registration,Approved,01/19/2023 18:21
537,6141,15,12003083102,2,Quality Assurance (QAM),Approved,01/19/2023 23:15
538,6141,20,12003083102,2,Data Entry,Returned,01/18/2023 15:57
539,6141,30,12003083102,2,B/L Check,Approved,01/20/2023 8:17
540,6141,40,12003083102,2,Application Check,Approved,01/20/2023 9:00
541,6141,61,12003083102,2,Member Bank Apprval 1,Approved,01/31/2023 15:49
542,6141,70,12003083102,2,Approval Completed,Approved,02/22/2023 16:19
543,6141,20,12003083102,3,Data Entry,Approved,01/20/2023 8:17
544,6141,61,12003083102,3,Member Bank Apprval 1,Approved,01/26/2023 17:16
545,6141,70,12003083102,3,Approval Completed,Approved,02/22/2023 16:19
546,6141,70,12003083102,4,Approval Completed,Approved,02/22/2023 16:19
547,6141,70,12003083102,5,Approval Completed,,02/22/2023 16:19
548,6142,10,12003083105,1,DOC Registration,Approved,01/18/2023 10:17
549,6142,15,12003083105,1,Quality Assurance (QAM),Approved,01/18/2023 10:47
550,6142,20,12003083105,1,Data Entry,Approved,01/18/2023 15:18
551,6142,30,12003083105,1,B/L Check,Approved,01/18/2023 15:18
552,6142,40,12003083105,1,Application Check,Approved,01/18/2023 20:23
553,6142,50,12003083105,1,Merchant Analyst,Approved,01/20/2023 15:43
554,6142,61,12003083105,1,Member Bank Apprval 1,Approved,01/30/2023 16:28
555,6142,70,12003083105,1,Approval Completed,Approved,02/04/2023 19:38
556,6142,61,12003083105,2,Member Bank Apprval 1,Approved,01/30/2023 15:39
557,6142,70,12003083105,2,Approval Completed,Approved,02/04/2023 19:38
558,6142,61,12003083105,3,Member Bank Apprval 1,Approved,01/26/2023 17:16
559,6142,70,12003083105,3,Approval Completed,Approved,02/04/2023 19:38
560,6142,70,12003083105,4,Approval Completed,Approved,02/04/2023 19:38
561,6142,70,12003083105,5,Approval Completed,,02/04/2023 19:38
562,6144,70,12003083111,1,Approval Completed,Approved,01/18/2023 10:30
563,6145,70,12003083112,1,Approval Completed,Approved,01/18/2023 10:30
564,6146,70,12003083113,1,Approval Completed,Approved,01/18/2023 10:30
565,6147,70,12003083114,1,Approval Completed,Approved,01/18/2023 10:30
566,6148,70,12003083115,1,Approval Completed,Approved,01/18/2023 10:30
567,6149,70,12003083116,1,Approval Completed,Approved,01/18/2023 10:30
568,6150,70,12003083117,1,Approval Completed,Approved,01/18/2023 10:30
569,6151,70,12003083118,1,Approval Completed,Approved,01/18/2023 10:30
570,6152,70,12003083119,1,Approval Completed,Approved,01/18/2023 10:30
571,6153,70,12003083120,1,Approval Completed,Approved,01/18/2023 10:30
572,6154,70,12003083121,1,Approval Completed,Approved,01/18/2023 10:30
573,6155,70,12003083122,1,Approval Completed,Approved,01/18/2023 10:30
574,6156,70,12003083123,1,Approval Completed,Approved,01/18/2023 10:30
575,6157,70,12003083124,1,Approval Completed,Approved,01/18/2023 10:30
576,6158,70,12003083125,1,Approval Completed,Approved,01/18/2023 10:30
577,6159,70,12003083126,1,Approval Completed,Approved,01/18/2023 10:30
578,6160,70,12003083127,1,Approval Completed,Approved,01/18/2023 10:30
579,6161,70,12003083128,1,Approval Completed,Approved,01/18/2023 10:30
580,6162,70,12003083129,1,Approval Completed,Approved,01/18/2023 10:30
581,6163,70,12003083130,1,Approval Completed,Approved,01/18/2023 10:30
582,6164,70,12003083131,1,Approval Completed,Approved,01/18/2023 10:30
583,6165,70,12003083132,1,Approval Completed,Approved,01/18/2023 10:30
12061,6419,15,12003102183,1,Quality Assurance (QAM),Approved,01/18/2023 21:42
12062,6419,20,12003102183,1,Data Entry,Approved,01/19/2023 11:12
12063,6419,30,12003102183,1,B/L Check,Approved,01/19/2023 11:12
12064,6419,40,12003102183,1,Application Check,Approved,01/19/2023 11:12
12065,6419,61,12003102183,1,Member Bank Apprval 1,Approved,01/19/2023 14:10
12066,6419,70,12003102183,1,Approval Completed,Approved,01/20/2023 18:59
12067,6419,70,12003102183,2,Approval Completed,,01/20/2023 18:59
12068,6420,10,12003102184,1,DOC Registration,Approved,01/18/2023 21:44
12069,6420,15,12003102184,1,Quality Assurance (QAM),Approved,01/18/2023 21:44
12070,6420,20,12003102184,1,Data Entry,Approved,01/19/2023 11:14
12071,6420,30,12003102184,1,B/L Check,Approved,01/19/2023 11:14
12072,6420,40,12003102184,1,Application Check,Approved,01/19/2023 11:18
12073,6420,61,12003102184,1,Member Bank Apprval 1,Approved,01/19/2023 14:10
12074,6420,70,12003102184,1,Approval Completed,Approved,01/20/2023 18:21
12075,6420,70,12003102184,2,Approval Completed,,01/20/2023 18:21
12076,6421,10,12003102185,1,DOC Registration,Approved,01/18/2023 21:47
12077,6421,15,12003102185,1,Quality Assurance (QAM),Approved,01/18/2023 21:47
12078,6421,20,12003102185,1,Data Entry,Approved,01/19/2023 11:16
12079,6421,30,12003102185,1,B/L Check,Approved,01/19/2023 11:16
12080,6421,40,12003102185,1,Application Check,Approved,01/19/2023 11:18
12081,6421,61,12003102185,1,Member Bank Apprval 1,Approved,01/19/2023 14:10
12082,6421,70,12003102185,1,Approval Completed,Approved,01/20/2023 19:00
12083,6421,70,12003102185,2,Approval Completed,,01/20/2023 19:00
12084,6422,10,12003102186,1,DOC Registration,Approved,01/18/2023 21:49
12085,6422,15,12003102186,1,Quality Assurance (QAM),Approved,01/18/2023 21:49
12086,6422,20,12003102186,1,Data Entry,Approved,01/19/2023 11:18
12087,6422,30,12003102186,1,B/L Check,Approved,01/19/2023 11:18
12088,6422,40,12003102186,1,Application Check,Approved,01/19/2023 11:18
12089,6422,61,12003102186,1,Member Bank Apprval 1,Approved,01/19/2023 14:10
12090,6422,70,12003102186,1,Approval Completed,Approved,01/20/2023 18:09
12091,6422,70,12003102186,2,Approval Completed,,01/20/2023 18:09
12092,6423,10,12003102187,1,DOC Registration,Approved,01/18/2023 21:51
12093,6423,15,12003102187,1,Quality Assurance (QAM),Approved,01/18/2023 21:51
12094,6423,20,12003102187,1,Data Entry,Approved,01/19/2023 10:44
12095,6423,30,12003102187,1,B/L Check,Approved,01/19/2023 10:44
12096,6423,40,12003102187,1,Application Check,Approved,01/19/2023 10:45
12097,6423,61,12003102187,1,Member Bank Apprval 1,Approved,01/19/2023 14:12
12098,6423,70,12003102187,1,Approval Completed,Approved,01/20/2023 17:28
12099,6423,70,12003102187,2,Approval Completed,,01/20/2023 17:28
12100,6901,10,12003307360,1,DOC Registration,Approved,01/27/2023 11:38
12101,6901,15,12003307360,1,Quality Assurance (QAM),Approved,01/27/2023 11:38
12102,6901,20,12003307360,1,Data Entry,Approved,01/27/2023 12:52
12103,6901,30,12003307360,1,B/L Check,Approved,01/27/2023 12:52
12104,6901,40,12003307360,1,Application Check,Approved,01/27/2023 13:26
12105,6901,61,12003307360,1,Member Bank Apprval 1,Approved,01/27/2023 14:01
12106,6901,70,12003307360,1,Approval Completed,Approved,01/28/2023 18:55
12107,6901,70,12003307360,2,Approval Completed,,01/28/2023 18:55
12108,7864,10,12004085077,1,DOC Registration,Approved,02/24/2023 14:45
12109,7864,15,12004085077,1,Quality Assurance (QAM),Approved,02/24/2023 15:18
12110,7864,20,12004085077,1,Data Entry,Approved,02/27/2023 15:16
12111,7864,30,12004085077,1,B/L Check,Approved,02/27/2023 15:16
12112,7864,40,12004085077,1,Application Check,Approved,02/27/2023 15:46
12113,7864,50,12004085077,1,Merchant Analyst,Approved,02/28/2023 16:47
12114,7864,61,12004085077,1,Member Bank Apprval 1,Approved,03/10/2023 22:22
12115,7864,70,12004085077,1,Approval Completed,Approved,03/01/2023 8:25
12116,7864,61,12004085077,2,Member Bank Apprval 1,Approved,03/11/2023 0:55
12117,7864,70,12004085077,2,Approval Completed,Approved,03/10/2023 20:51
12118,7864,61,12004085077,3,Member Bank Apprval 1,Approved,03/01/2023 8:25
12119,7864,70,12004085077,3,Approval Completed,Approved,03/10/2023 22:22
12120,7864,70,12004085077,4,Approval Completed,Approved,03/11/2023 0:55
12121,7865,10,12004085083,1,DOC Registration,Approved,02/24/2023 14:51
12122,7865,15,12004085083,1,Quality Assurance (QAM),Approved,02/24/2023 15:17
12123,7865,20,12004085083,1,Data Entry,Approved,02/27/2023 11:18
12124,7865,30,12004085083,1,B/L Check,Approved,02/27/2023 11:18
12125,7865,40,12004085083,1,Application Check,Approved,02/27/2023 13:29
12126,7865,50,12004085083,1,Merchant Analyst,Approved,02/28/2023 23:52
12127,7865,61,12004085083,1,Member Bank Apprval 1,Approved,03/10/2023 22:22
12128,7865,70,12004085083,1,Approval Completed,Approved,03/01/2023 8:25
12129,7865,61,12004085083,2,Member Bank Apprval 1,Approved,03/11/2023 0:55
12130,7865,70,12004085083,2,Approval Completed,Approved,03/10/2023 20:51
12131,7865,61,12004085083,3,Member Bank Apprval 1,Approved,03/01/2023 8:25
12132,7865,70,12004085083,3,Approval Completed,Approved,03/10/2023 22:22
12133,7865,70,12004085083,4,Approval Completed,Approved,03/11/2023 0:55
12134,7866,10,12004085108,1,DOC Registration,Approved,02/24/2023 15:09
12135,7866,15,12004085108,1,Quality Assurance (QAM),Approved,02/24/2023 15:21
12136,7866,20,12004085108,1,Data Entry,Approved,02/27/2023 11:49
12137,7866,30,12004085108,1,B/L Check,Approved,02/27/2023 11:49
12138,7866,40,12004085108,1,Application Check,Approved,02/27/2023 16:12
12139,7866,50,12004085108,1,Merchant Analyst,Returned,02/28/2023 16:01
12140,7866,61,12004085108,1,Member Bank Apprval 1,Approved,03/03/2023 9:16
12141,7866,70,12004085108,1,Approval Completed,Approved,03/04/2023 22:25
12142,7866,20,12004085108,2,Data Entry,Approved,02/28/2023 16:37
12143,7866,30,12004085108,2,B/L Check,Approved,02/28/2023 16:37
12144,7866,40,12004085108,2,Application Check,Approved,02/28/2023 16:40
12145,7866,50,12004085108,2,Merchant Analyst,Returned,03/01/2023 8:57
12146,7866,70,12004085108,2,Approval Completed,,03/04/2023 22:25
12147,7866,20,12004085108,3,Data Entry,Approved,03/01/2023 9:11
12148,7866,30,12004085108,3,B/L Check,Approved,03/01/2023 9:11
12149,7866,40,12004085108,3,Application Check,Approved,03/01/2023 9:11
12150,7866,50,12004085108,3,Merchant Analyst,Approved,03/01/2023 9:22
12151,7867,10,12004085235,1,DOC Registration,Approved,02/24/2023 15:43
12152,7867,15,12004085235,1,Quality Assurance (QAM),Approved,02/24/2023 15:43
12153,7867,20,12004085235,1,Data Entry,Approved,02/27/2023 14:40
12154,7867,30,12004085235,1,B/L Check,Approved,02/27/2023 14:40
12155,7867,40,12004085235,1,Application Check,Returned,02/27/2023 14:56
12156,7867,61,12004085235,1,Member Bank Apprval 1,Approved,02/28/2023 11:49
12157,7867,70,12004085235,1,Approval Completed,Approved,03/14/2023 16:32
12158,7867,20,12004085235,2,Data Entry,Approved,02/27/2023 17:06
12159,7867,30,12004085235,2,B/L Check,Approved,02/27/2023 17:06
12160,7867,40,12004085235,2,Application Check,Approved,02/27/2023 19:10
12161,7867,70,12004085235,2,Approval Completed,,03/14/2023 16:32
10961,6394,70,12003102085,3,Approval Completed,Approved,02/16/2023 21:00
10962,6394,70,12003102085,4,Approval Completed,Approved,02/16/2023 21:00
10963,6394,70,12003102085,5,Approval Completed,,02/16/2023 21:00
10964,6395,10,12003102094,1,DOC Registration,Approved,01/18/2023 17:46
10965,6395,15,12003102094,1,Quality Assurance (QAM),Approved,01/18/2023 21:55
10966,6395,20,12003102094,1,Data Entry,Approved,01/19/2023 14:30
10967,6395,30,12003102094,1,B/L Check,Approved,01/19/2023 14:30
10968,6395,40,12003102094,1,Application Check,Approved,01/19/2023 14:39
10969,6395,50,12003102094,1,Merchant Analyst,Approved,01/24/2023 10:20
10970,6395,61,12003102094,1,Member Bank Apprval 1,Approved,01/31/2023 17:04
